question,option_1,option_2,option_3,option_4,option_5,answer,wiki_text,page_id,page_title,stem_label
What is classical mechanics?,A model of the physics of forces acting upon bodies,The study of the object and properties of an object in motion,"The study of changes in temperature, pressure, and volume on physical systems","The study of the behavior of solids, gases, and fluids",The study of the motion of particles and general systems of particles,option_1,"Physics is a scientific discipline that seeks to construct and experimentally test theories of the physical universe. These theories vary in their scope and can be organized into several distinct branches, which are outlined in this article.

Classical mechanics
Classical mechanics is a model of the physics of forces acting upon bodies; includes sub-fields to describe the behaviors of solids, gases, and fluids. It is often referred to as ""Newtonian mechanics"" after Isaac Newton and his laws of motion. It also includes the classical approach as given by Hamiltonian and Lagrange methods. It deals with the motion of particles and the general system of particles.
There are many branches of classical mechanics, such as: statics, dynamics, kinematics, continuum mechanics (which includes fluid mechanics), statistical mechanics, etc.

Mechanics: A branch of physics in which we study the object and properties of an object in form of a motion under the action of the force.

Thermodynamics and statistical mechanics
The first chapter of The Feynman Lectures on Physics is about the existence of atoms, which Feynman considered to be the most compact statement of physics, from which science could easily result even if all other knowledge was lost. By modeling matter as collections of hard spheres, it is possible to describe the kinetic theory of gases, upon which classical thermodynamics is based.
Thermodynamics studies the effects of changes in temperature, pressure, and volume on physical systems on the macroscopic scale, and the transfer of energy as heat. Historically, thermodynamics developed out of the desire to increase the efficiency of early steam engines.The starting point for most thermodynamic considerations is the laws of thermodynamics, which postulate that energy can be exchanged between physical systems as heat or work.",22688097,Branches of physics,M
Who is often referred to as the father of classical mechanics?,Isaac Newton,Albert Einstein,Galileo Galilei,Leonhard Euler,Johannes Kepler,option_1,"Physics is a scientific discipline that seeks to construct and experimentally test theories of the physical universe. These theories vary in their scope and can be organized into several distinct branches, which are outlined in this article.

Classical mechanics
Classical mechanics is a model of the physics of forces acting upon bodies; includes sub-fields to describe the behaviors of solids, gases, and fluids. It is often referred to as ""Newtonian mechanics"" after Isaac Newton and his laws of motion. It also includes the classical approach as given by Hamiltonian and Lagrange methods. It deals with the motion of particles and the general system of particles.
There are many branches of classical mechanics, such as: statics, dynamics, kinematics, continuum mechanics (which includes fluid mechanics), statistical mechanics, etc.

Mechanics: A branch of physics in which we study the object and properties of an object in form of a motion under the action of the force.

Thermodynamics and statistical mechanics
The first chapter of The Feynman Lectures on Physics is about the existence of atoms, which Feynman considered to be the most compact statement of physics, from which science could easily result even if all other knowledge was lost. By modeling matter as collections of hard spheres, it is possible to describe the kinetic theory of gases, upon which classical thermodynamics is based.
Thermodynamics studies the effects of changes in temperature, pressure, and volume on physical systems on the macroscopic scale, and the transfer of energy as heat. Historically, thermodynamics developed out of the desire to increase the efficiency of early steam engines.The starting point for most thermodynamic considerations is the laws of thermodynamics, which postulate that energy can be exchanged between physical systems as heat or work.",22688097,Branches of physics,M
What is thermodynamics?,The study of the physics of forces acting upon bodies,The study of the object and properties of an object in motion,"The study of changes in temperature, pressure, and volume on physical systems","The study of the behavior of solids, gases, and fluids",The study of the motion of particles and general systems of particles,option_3,"Physics is a scientific discipline that seeks to construct and experimentally test theories of the physical universe. These theories vary in their scope and can be organized into several distinct branches, which are outlined in this article.

Classical mechanics
Classical mechanics is a model of the physics of forces acting upon bodies; includes sub-fields to describe the behaviors of solids, gases, and fluids. It is often referred to as ""Newtonian mechanics"" after Isaac Newton and his laws of motion. It also includes the classical approach as given by Hamiltonian and Lagrange methods. It deals with the motion of particles and the general system of particles.
There are many branches of classical mechanics, such as: statics, dynamics, kinematics, continuum mechanics (which includes fluid mechanics), statistical mechanics, etc.

Mechanics: A branch of physics in which we study the object and properties of an object in form of a motion under the action of the force.

Thermodynamics and statistical mechanics
The first chapter of The Feynman Lectures on Physics is about the existence of atoms, which Feynman considered to be the most compact statement of physics, from which science could easily result even if all other knowledge was lost. By modeling matter as collections of hard spheres, it is possible to describe the kinetic theory of gases, upon which classical thermodynamics is based.
Thermodynamics studies the effects of changes in temperature, pressure, and volume on physical systems on the macroscopic scale, and the transfer of energy as heat. Historically, thermodynamics developed out of the desire to increase the efficiency of early steam engines.The starting point for most thermodynamic considerations is the laws of thermodynamics, which postulate that energy can be exchanged between physical systems as heat or work.",22688097,Branches of physics,M
What is the starting point for most thermodynamic considerations?,The laws of thermodynamics,The laws of classical mechanics,The laws of quantum mechanics,The laws of relativity,The laws of statistical mechanics,option_1,"Physics is a scientific discipline that seeks to construct and experimentally test theories of the physical universe. These theories vary in their scope and can be organized into several distinct branches, which are outlined in this article.

Classical mechanics
Classical mechanics is a model of the physics of forces acting upon bodies; includes sub-fields to describe the behaviors of solids, gases, and fluids. It is often referred to as ""Newtonian mechanics"" after Isaac Newton and his laws of motion. It also includes the classical approach as given by Hamiltonian and Lagrange methods. It deals with the motion of particles and the general system of particles.
There are many branches of classical mechanics, such as: statics, dynamics, kinematics, continuum mechanics (which includes fluid mechanics), statistical mechanics, etc.

Mechanics: A branch of physics in which we study the object and properties of an object in form of a motion under the action of the force.

Thermodynamics and statistical mechanics
The first chapter of The Feynman Lectures on Physics is about the existence of atoms, which Feynman considered to be the most compact statement of physics, from which science could easily result even if all other knowledge was lost. By modeling matter as collections of hard spheres, it is possible to describe the kinetic theory of gases, upon which classical thermodynamics is based.
Thermodynamics studies the effects of changes in temperature, pressure, and volume on physical systems on the macroscopic scale, and the transfer of energy as heat. Historically, thermodynamics developed out of the desire to increase the efficiency of early steam engines.The starting point for most thermodynamic considerations is the laws of thermodynamics, which postulate that energy can be exchanged between physical systems as heat or work.",22688097,Branches of physics,M
What did Feynman consider to be the most compact statement of physics?,Classical mechanics,Thermodynamics,The existence of atoms,The laws of motion,The laws of thermodynamics,option_3,"Physics is a scientific discipline that seeks to construct and experimentally test theories of the physical universe. These theories vary in their scope and can be organized into several distinct branches, which are outlined in this article.

Classical mechanics
Classical mechanics is a model of the physics of forces acting upon bodies; includes sub-fields to describe the behaviors of solids, gases, and fluids. It is often referred to as ""Newtonian mechanics"" after Isaac Newton and his laws of motion. It also includes the classical approach as given by Hamiltonian and Lagrange methods. It deals with the motion of particles and the general system of particles.
There are many branches of classical mechanics, such as: statics, dynamics, kinematics, continuum mechanics (which includes fluid mechanics), statistical mechanics, etc.

Mechanics: A branch of physics in which we study the object and properties of an object in form of a motion under the action of the force.

Thermodynamics and statistical mechanics
The first chapter of The Feynman Lectures on Physics is about the existence of atoms, which Feynman considered to be the most compact statement of physics, from which science could easily result even if all other knowledge was lost. By modeling matter as collections of hard spheres, it is possible to describe the kinetic theory of gases, upon which classical thermodynamics is based.
Thermodynamics studies the effects of changes in temperature, pressure, and volume on physical systems on the macroscopic scale, and the transfer of energy as heat. Historically, thermodynamics developed out of the desire to increase the efficiency of early steam engines.The starting point for most thermodynamic considerations is the laws of thermodynamics, which postulate that energy can be exchanged between physical systems as heat or work.",22688097,Branches of physics,M
What are symmetries in quantum mechanics?,Symmetries describe features of spacetime that are changed under some transformation.,Symmetries describe features of particles that are unchanged under some transformation.,Symmetries describe features of particles that are changed under some transformation.,Symmetries describe features of spacetime that are unchanged under some transformation.,Symmetries describe features of particles that are irrelevant under some transformation.,option_4,"Symmetries in quantum mechanics describe features of spacetime and particles which are unchanged under some transformation, in the context of quantum mechanics, relativistic quantum mechanics and quantum field theory, and with applications in the mathematical formulation of the standard model and condensed matter physics. In general, symmetry in physics, invariance, and conservation laws, are fundamentally important constraints for formulating physical theories and models. In practice, they are powerful methods for solving problems and predicting what can happen. While conservation laws do not always give the answer to the problem directly, they form the correct constraints and the first steps to solving a multitude of problems.
This article outlines the connection between the classical form of continuous symmetries as well as their quantum operators, and relates them to the Lie groups, and relativistic transformations in the Lorentz group and Poincaré group.

Notation
The notational conventions used in this article are as follows. Boldface indicates vectors, four vectors, matrices, and vectorial operators, while quantum states use bra–ket notation. Wide hats are for operators, narrow hats are for unit vectors (including their components in tensor index notation). The summation convention on the repeated tensor indices is used, unless stated otherwise.",39580830,Symmetry in quantum mechanics,M
"What are symmetry, invariance, and conservation laws in physics?",They are fundamental constraints for formulating physical theories and models.,They are powerful methods for solving problems and predicting outcomes.,They are direct answers to all physical problems.,They are redundant in physics and can be ignored.,They are mathematical concepts with no practical use in physics.,option_1,"Symmetries in quantum mechanics describe features of spacetime and particles which are unchanged under some transformation, in the context of quantum mechanics, relativistic quantum mechanics and quantum field theory, and with applications in the mathematical formulation of the standard model and condensed matter physics. In general, symmetry in physics, invariance, and conservation laws, are fundamentally important constraints for formulating physical theories and models. In practice, they are powerful methods for solving problems and predicting what can happen. While conservation laws do not always give the answer to the problem directly, they form the correct constraints and the first steps to solving a multitude of problems.
This article outlines the connection between the classical form of continuous symmetries as well as their quantum operators, and relates them to the Lie groups, and relativistic transformations in the Lorentz group and Poincaré group.

Notation
The notational conventions used in this article are as follows. Boldface indicates vectors, four vectors, matrices, and vectorial operators, while quantum states use bra–ket notation. Wide hats are for operators, narrow hats are for unit vectors (including their components in tensor index notation). The summation convention on the repeated tensor indices is used, unless stated otherwise.",39580830,Symmetry in quantum mechanics,M
How do conservation laws contribute to solving problems in physics?,They directly provide the answer to the problem.,They are the correct constraints and the first steps to solving a multitude of problems.,They are irrelevant in the formulation of physical theories and models.,"They are only useful in classical physics, not quantum mechanics.",They hinder problem-solving in physics.,option_2,"Symmetries in quantum mechanics describe features of spacetime and particles which are unchanged under some transformation, in the context of quantum mechanics, relativistic quantum mechanics and quantum field theory, and with applications in the mathematical formulation of the standard model and condensed matter physics. In general, symmetry in physics, invariance, and conservation laws, are fundamentally important constraints for formulating physical theories and models. In practice, they are powerful methods for solving problems and predicting what can happen. While conservation laws do not always give the answer to the problem directly, they form the correct constraints and the first steps to solving a multitude of problems.
This article outlines the connection between the classical form of continuous symmetries as well as their quantum operators, and relates them to the Lie groups, and relativistic transformations in the Lorentz group and Poincaré group.

Notation
The notational conventions used in this article are as follows. Boldface indicates vectors, four vectors, matrices, and vectorial operators, while quantum states use bra–ket notation. Wide hats are for operators, narrow hats are for unit vectors (including their components in tensor index notation). The summation convention on the repeated tensor indices is used, unless stated otherwise.",39580830,Symmetry in quantum mechanics,M
What do Lie groups and relativistic transformations relate to in quantum mechanics?,They relate to the mathematical formulation of the standard model.,They relate to the condensed matter physics.,They relate to the classical form of continuous symmetries.,They relate to the quantum operators of symmetries.,They relate to the mathematical formulation of quantum field theory.,option_4,"Symmetries in quantum mechanics describe features of spacetime and particles which are unchanged under some transformation, in the context of quantum mechanics, relativistic quantum mechanics and quantum field theory, and with applications in the mathematical formulation of the standard model and condensed matter physics. In general, symmetry in physics, invariance, and conservation laws, are fundamentally important constraints for formulating physical theories and models. In practice, they are powerful methods for solving problems and predicting what can happen. While conservation laws do not always give the answer to the problem directly, they form the correct constraints and the first steps to solving a multitude of problems.
This article outlines the connection between the classical form of continuous symmetries as well as their quantum operators, and relates them to the Lie groups, and relativistic transformations in the Lorentz group and Poincaré group.

Notation
The notational conventions used in this article are as follows. Boldface indicates vectors, four vectors, matrices, and vectorial operators, while quantum states use bra–ket notation. Wide hats are for operators, narrow hats are for unit vectors (including their components in tensor index notation). The summation convention on the repeated tensor indices is used, unless stated otherwise.",39580830,Symmetry in quantum mechanics,M
What do wide hats and narrow hats represent in notation?,Wide hats represent unit vectors and narrow hats represent operators.,Wide hats represent matrices and narrow hats represent vectors.,Wide hats represent vectors and narrow hats represent unit vectors.,Wide hats represent operators and narrow hats represent unit vectors.,Wide hats represent unit vectors and narrow hats represent matrices.,option_4,"Symmetries in quantum mechanics describe features of spacetime and particles which are unchanged under some transformation, in the context of quantum mechanics, relativistic quantum mechanics and quantum field theory, and with applications in the mathematical formulation of the standard model and condensed matter physics. In general, symmetry in physics, invariance, and conservation laws, are fundamentally important constraints for formulating physical theories and models. In practice, they are powerful methods for solving problems and predicting what can happen. While conservation laws do not always give the answer to the problem directly, they form the correct constraints and the first steps to solving a multitude of problems.
This article outlines the connection between the classical form of continuous symmetries as well as their quantum operators, and relates them to the Lie groups, and relativistic transformations in the Lorentz group and Poincaré group.

Notation
The notational conventions used in this article are as follows. Boldface indicates vectors, four vectors, matrices, and vectorial operators, while quantum states use bra–ket notation. Wide hats are for operators, narrow hats are for unit vectors (including their components in tensor index notation). The summation convention on the repeated tensor indices is used, unless stated otherwise.",39580830,Symmetry in quantum mechanics,M
When was the Wisconsin Alumni Research Foundation founded?,1925,1935,1945,1955,1965,option_1,"The Wisconsin Alumni Research Foundation is the independent nonprofit technology transfer organization serving the University of Wisconsin–Madison and Morgridge Institute for Research. It provides significant research support, granting tens of millions of dollars to the university each year and contributing to the university's ""margin of excellence"".

History
WARF was founded in 1925 to manage a discovery by Harry Steenbock, who invented the process for using ultraviolet radiation to add vitamin D to milk and other foods. Rather than leaving the invention unpatented—then the standard practice for university inventions—Steenbock used $300 of his own money to file for a patent. He received commercial interest from Quaker Oats but declined the company's initial offer.
Instead, Steenbock sought a way to protect discoveries made by UW-Madison faculty, ensure use of the ideas for public benefit and bring any financial gains back to the university. His concept gained support from Harry L. Russell, dean of the College of Agriculture, and Charles Sumner Slichter, dean of the Graduate School.
Slichter began soliciting the interest and financial support of wealthy UW-Madison alumni acquaintances in Chicago and New York. He gained a substantial sum in verbal pledges from a number of alumni, nine of whom would eventually contribute $100 each.
The UW Board of Regents approved the plan on June 22, 1925, and the organization's charter was filed with the Secretary of State of Wisconsin on November 14 that same year.",1543508,Wisconsin Alumni Research Foundation,T
Who invented the process for using ultraviolet radiation to add vitamin D to milk and other foods?,Harry Steenbock,Harry L. Russell,Charles Sumner Slichter,Quaker Oats,UW-Madison,option_1,"The Wisconsin Alumni Research Foundation is the independent nonprofit technology transfer organization serving the University of Wisconsin–Madison and Morgridge Institute for Research. It provides significant research support, granting tens of millions of dollars to the university each year and contributing to the university's ""margin of excellence"".

History
WARF was founded in 1925 to manage a discovery by Harry Steenbock, who invented the process for using ultraviolet radiation to add vitamin D to milk and other foods. Rather than leaving the invention unpatented—then the standard practice for university inventions—Steenbock used $300 of his own money to file for a patent. He received commercial interest from Quaker Oats but declined the company's initial offer.
Instead, Steenbock sought a way to protect discoveries made by UW-Madison faculty, ensure use of the ideas for public benefit and bring any financial gains back to the university. His concept gained support from Harry L. Russell, dean of the College of Agriculture, and Charles Sumner Slichter, dean of the Graduate School.
Slichter began soliciting the interest and financial support of wealthy UW-Madison alumni acquaintances in Chicago and New York. He gained a substantial sum in verbal pledges from a number of alumni, nine of whom would eventually contribute $100 each.
The UW Board of Regents approved the plan on June 22, 1925, and the organization's charter was filed with the Secretary of State of Wisconsin on November 14 that same year.",1543508,Wisconsin Alumni Research Foundation,T
How did Harry Steenbock initially protect his invention?,By leaving it unpatented,By seeking financial support from alumni,By filing for a patent,By declining Quaker Oats offer,By gaining commercial interest,option_3,"The Wisconsin Alumni Research Foundation is the independent nonprofit technology transfer organization serving the University of Wisconsin–Madison and Morgridge Institute for Research. It provides significant research support, granting tens of millions of dollars to the university each year and contributing to the university's ""margin of excellence"".

History
WARF was founded in 1925 to manage a discovery by Harry Steenbock, who invented the process for using ultraviolet radiation to add vitamin D to milk and other foods. Rather than leaving the invention unpatented—then the standard practice for university inventions—Steenbock used $300 of his own money to file for a patent. He received commercial interest from Quaker Oats but declined the company's initial offer.
Instead, Steenbock sought a way to protect discoveries made by UW-Madison faculty, ensure use of the ideas for public benefit and bring any financial gains back to the university. His concept gained support from Harry L. Russell, dean of the College of Agriculture, and Charles Sumner Slichter, dean of the Graduate School.
Slichter began soliciting the interest and financial support of wealthy UW-Madison alumni acquaintances in Chicago and New York. He gained a substantial sum in verbal pledges from a number of alumni, nine of whom would eventually contribute $100 each.
The UW Board of Regents approved the plan on June 22, 1925, and the organization's charter was filed with the Secretary of State of Wisconsin on November 14 that same year.",1543508,Wisconsin Alumni Research Foundation,T
Who supported Harry Steenbock's concept of protecting discoveries made by UW-Madison faculty?,Harry Steenbock,Harry L. Russell,Charles Sumner Slichter,Quaker Oats,UW-Madison,option_3,"The Wisconsin Alumni Research Foundation is the independent nonprofit technology transfer organization serving the University of Wisconsin–Madison and Morgridge Institute for Research. It provides significant research support, granting tens of millions of dollars to the university each year and contributing to the university's ""margin of excellence"".

History
WARF was founded in 1925 to manage a discovery by Harry Steenbock, who invented the process for using ultraviolet radiation to add vitamin D to milk and other foods. Rather than leaving the invention unpatented—then the standard practice for university inventions—Steenbock used $300 of his own money to file for a patent. He received commercial interest from Quaker Oats but declined the company's initial offer.
Instead, Steenbock sought a way to protect discoveries made by UW-Madison faculty, ensure use of the ideas for public benefit and bring any financial gains back to the university. His concept gained support from Harry L. Russell, dean of the College of Agriculture, and Charles Sumner Slichter, dean of the Graduate School.
Slichter began soliciting the interest and financial support of wealthy UW-Madison alumni acquaintances in Chicago and New York. He gained a substantial sum in verbal pledges from a number of alumni, nine of whom would eventually contribute $100 each.
The UW Board of Regents approved the plan on June 22, 1925, and the organization's charter was filed with the Secretary of State of Wisconsin on November 14 that same year.",1543508,Wisconsin Alumni Research Foundation,T
When was the organization's charter filed with the Secretary of State of Wisconsin?,"June 22, 1925","November 14, 1925","November 22, 1925","June 14, 1925","November 14, 1935",option_2,"The Wisconsin Alumni Research Foundation is the independent nonprofit technology transfer organization serving the University of Wisconsin–Madison and Morgridge Institute for Research. It provides significant research support, granting tens of millions of dollars to the university each year and contributing to the university's ""margin of excellence"".

History
WARF was founded in 1925 to manage a discovery by Harry Steenbock, who invented the process for using ultraviolet radiation to add vitamin D to milk and other foods. Rather than leaving the invention unpatented—then the standard practice for university inventions—Steenbock used $300 of his own money to file for a patent. He received commercial interest from Quaker Oats but declined the company's initial offer.
Instead, Steenbock sought a way to protect discoveries made by UW-Madison faculty, ensure use of the ideas for public benefit and bring any financial gains back to the university. His concept gained support from Harry L. Russell, dean of the College of Agriculture, and Charles Sumner Slichter, dean of the Graduate School.
Slichter began soliciting the interest and financial support of wealthy UW-Madison alumni acquaintances in Chicago and New York. He gained a substantial sum in verbal pledges from a number of alumni, nine of whom would eventually contribute $100 each.
The UW Board of Regents approved the plan on June 22, 1925, and the organization's charter was filed with the Secretary of State of Wisconsin on November 14 that same year.",1543508,Wisconsin Alumni Research Foundation,T
