exp_id,name,created_at,kaggle_tag,notes,attack_path,git_commit,attack_sha256
exp-012-encoding-chain-bank,encoding-chain-bank,2026-07-13T17:04:29Z,exp-012-encoding-chain-bank,exp-015 structured replay bank plus compact read-encode-exfil and transform-chain candidates.,experiments/runs/exp-012-encoding-chain-bank/attack.py,cbbe087,d7dd35b4eec568981ac30aa96ebe19b77cbfd38785a4e0afef6fd292614b50d9
exp-013-handoff-routing-bank,handoff-routing-bank,2026-07-14T17:05:09Z,exp-013-handoff-routing-bank,"exp-015 replay bank plus handoff/routing style candidates for exfiltration, confused deputy, untrusted-to-action, and destructive write coverage.",experiments/runs/exp-013-handoff-routing-bank/attack.py,cbbe087,1319ce54e5c388365fcd17cdd00fa3b11b75dfd77e2d7d32cb158e89fe19d817
exp-014-prioritized-replay-bank,prioritized-replay-bank,2026-07-09T17:01:05Z,exp-014-prioritized-replay-bank,Prioritized direct replay bank; exp-006 core first plus selected HTTP/deputy/read-action/destructive candidates.,experiments/runs/exp-014-prioritized-replay-bank/attack.py,8d71c25,23236bb99ce1df775c2fada4d0f4a6f90c367e72d154569f6ec7532b63b2c6cf
exp-015-structured-replay-bank,structured-replay-bank,2026-07-08T17:07:53Z,exp-015-structured-replay-bank,Structured direct replay bank; expanded HTTP/deputy/read-action/destructive candidates from exp-006/009.,experiments/runs/exp-015-structured-replay-bank/attack.py,146696f,3ac73456003a64dd18f52f2a863fbd49fcda3b21be74f1c7842cf1d833192768
exp-016-compliance-routing-bank,compliance-routing-bank,2026-07-17T17:03:01Z,exp-016-compliance-routing-bank,"exp-015 replay bank plus compliance/legal/risk routing candidates for exfiltration, confused deputy, untrusted-to-action, and destructive write coverage.",experiments/runs/exp-016-compliance-routing-bank/attack.py,,
exp-017-ticket-workflow-bank,ticket-workflow-bank,2026-07-15T17:03:29Z,exp-017-ticket-workflow-bank,"exp-015 replay bank plus ticket/incident/approval workflow candidates for exfiltration, confused deputy, untrusted-to-action, and destructive write coverage.",experiments/runs/exp-017-ticket-workflow-bank/attack.py,7f0c66a,12fab62bc5cd2ee023f5048b2fa05c48ab65dc6e2ac5687ab253cb3ae3050838
exp-018-unified-workflow-bank,unified-workflow-bank,2026-07-18T04:44:59Z,exp-018-unified-workflow-bank,Merge exp-016 compliance and exp-017 ticket workflow replay banks with compact Go-Explore fallback.,experiments/runs/exp-018-unified-workflow-bank/attack.py,d63787e,9da009cf64dbb47a8224560702b4cb1180e2e4cdf7db69462a449addf5887567
exp-019-unified-encoding-bank,unified-encoding-bank,2026-07-19T17:00:00Z,exp-019-unified-encoding-bank,Merge exp-018 unified workflow bank with exp-012 encoding chains and workflow-targeted encode routes.,experiments/runs/exp-019-unified-encoding-bank/attack.py,,
exp-020-format-translation-bank,format-translation-bank,2026-07-20T17:00:00Z,exp-020-format-translation-bank,Merge exp-019 unified encoding bank with format/translation framing and exp-006/007 priority ordering.,experiments/runs/exp-020-format-translation-bank/attack.py,,
exp-021-output-spec-bank,output-spec-bank,2026-07-21T17:00:00Z,exp-021-output-spec-bank,Merge exp-020 format-translation bank with output-spec formatting and pseudo-structure replay candidates.,experiments/runs/exp-021-output-spec-bank/attack.py,,
exp-024-completion-policy-bank,completion-policy-bank,2026-07-24T17:00:00Z,exp-024-completion-policy-bank,Merge exp-023 fewshot-spec bank with completion/reminder/policy/continuation framing and read-completion exfil chains.,experiments/runs/exp-024-completion-policy-bank/attack.py,,
exp-025-checklist-echo-bank,checklist-echo-bank,2026-07-25T17:00:00Z,exp-025-checklist-echo-bank,Merge exp-024 completion-policy bank with checklist/echo/verification/procedure framing and read-checklist/echo exfil chains.,experiments/runs/exp-025-checklist-echo-bank/attack.py,,
exp-026-sandbox-logging-bank,sandbox-logging-bank,2026-07-26T17:00:00Z,exp-026-sandbox-logging-bank,Merge exp-025 checklist-echo bank with sandbox/logging/telemetry/delegation framing and read-sandbox/logging exfil chains.,experiments/runs/exp-026-sandbox-logging-bank/attack.py,,
exp-028-quarantine-attestation-bank,quarantine-attestation-bank,2026-07-28T17:00:00Z,exp-028-quarantine-attestation-bank,Merge exp-027 forensics-backup bank with quarantine/attestation/migration/rollback framing and read-quarantine/attestation exfil chains.,experiments/runs/exp-028-quarantine-attestation-bank/attack.py,,
exp-030-vault-tokenization-bank,vault-tokenization-bank,2026-07-30T17:03:58Z,exp-030-vault-tokenization-bank,"Merge exp-029 seal-custody bank with vault/tokenization, legal hold, integrity checksum, and data portability HTTP framing plus read-vault/legal-hold exfil chains.",experiments/runs/exp-030-vault-tokenization-bank/attack.py,a22758b,
exp-031-key-rotation-zerotrust-bank,key-rotation-zerotrust-bank,2026-07-31T17:04:11Z,exp-031-key-rotation-zerotrust-bank,"Merge exp-030 vault bank with key rotation, zero-trust verify, DLP scan, break-glass HTTP framing plus read-key-rotation/zero-trust exfil chains.",experiments/runs/exp-031-key-rotation-zerotrust-bank/attack.py,237d385,759626d8619daf11e68e67b22358fb2c02e8bf867c1219b464a2be96e6cea93c
exp-034-casb-cnapp-bank,casb-cnapp-bank,2026-08-03T17:05:00Z,exp-034-casb-cnapp-bank,Merge exp-033 SOAR/EDR bank with CASB/CNAPP/IAM/ZTNA cloud security HTTP framing plus read-CASB/CNAPP exfil chains; drop SOAR/EDR/threat-intel/patch sections for 2000 cap.,experiments/runs/exp-034-casb-cnapp-bank/attack.py,,
exp-040-gitops-sbom-ebpf-envelope-bank,gitops-sbom-ebpf-envelope-bank,2026-08-09T17:03:25Z,exp-040-gitops-sbom-ebpf-envelope-bank,Merge exp-039 with GitOps/SBOM/eBPF/KMS envelope replay banks,experiments/runs/exp-040-gitops-sbom-ebpf-envelope-bank/attack.py,3e205ab,a446b3ea1427527bef300fd002620b78668b95f0dd0c29703d2419e9b8adbc87
exp-041-llm-gateway-function-registry-bank,llm-gateway-function-registry-bank,2026-08-10T17:01:59Z,exp-041-llm-gateway-function-registry-bank,exp-040 base; LLM gateway/function-calling/tool-schema/eval harness bank,experiments/runs/exp-041-llm-gateway-function-registry-bank/attack.py,3aa3ec2,75e8bbfefa31ba6a0114961ba044a3368f433902a3ee0304e7e68cd670db41ac
exp-042-rag-vector-embedding-cache-bank,rag-vector-embedding-cache-bank,2026-08-12T17:26:05Z,exp-042-rag-vector-embedding-cache-bank,exp-041 base; RAG retrieval/vector DB/embedding pipeline/semantic cache bank,experiments/runs/exp-042-rag-vector-embedding-cache-bank/attack.py,eceda39,e9059fe7f1b92f221f2a556f9cca983cd55fcce214e6c10b0f051df9399daf09
exp-043-otel-planner-memory-webhook-bank,otel-planner-memory-webhook-bank,2026-08-13T17:16:58Z,exp-043-otel-planner-memory-webhook-bank,exp-042 base; OpenTelemetry tracing/planner-executor/agent memory/webhook callback bank,experiments/runs/exp-043-otel-planner-memory-webhook-bank/attack.py,9067d67,ab6424e93ab7c37e0727c473ea64beaecc2bc936cabd76366373294f25f7f937
exp-044-policy-guardrail-router-sandbox-bank,policy-guardrail-router-sandbox-bank,2026-08-14T17:09:09Z,exp-044-policy-guardrail-router-sandbox-bank,exp-043 base; policy engine/guardrail audit/model router/tool sandbox bank,experiments/runs/exp-044-policy-guardrail-router-sandbox-bank/attack.py,d6da2a0,49a56fe882cf1bfb79a0b24c2eae20370b782b9c17de409f9d9a17b860c52f34
exp-045-mcp-orchestrator-rag-safety-bank,mcp-orchestrator-rag-safety-bank,2026-08-15T17:01:32Z,exp-045-mcp-orchestrator-rag-safety-bank,exp-044 base; MCP gateway/agent orchestrator/RAG injection/safety classifier bank,experiments/runs/exp-045-mcp-orchestrator-rag-safety-bank/attack.py,21a2c73,21004a7c876da8036f79dc8a486e06bde2ee65168cc80c7a0b8cca5ed26c7665
exp-046-agent-auth-promptdef-toolschema-session-bank,agent-auth-promptdef-toolschema-session-bank,2026-08-16T17:02:13Z,exp-046-agent-auth-promptdef-toolschema-session-bank,exp-045 base; agent OAuth/prompt injection defense/tool schema validator/session replay bank,experiments/runs/exp-046-agent-auth-promptdef-toolschema-session-bank/attack.py,ed64fde,92033466ee5a30e1b4a7373585dd7ea96612c80ff164ad49aede303e6df7a38e
exp-047-multiagent-delegate-capability-egress-bank,multiagent-delegate-capability-egress-bank,2026-08-18T17:01:45Z,exp-047-multiagent-delegate-capability-egress-bank,exp-046 base; multi-agent delegation/subagent spawn/capability token/egress proxy bank,experiments/runs/exp-047-multiagent-delegate-capability-egress-bank/attack.py,4941000,496e7a3461c7db741d68aefe3777ef6a64b2fb2a6874f396579cf6ab5b1d81ab
exp-048-workflow-dag-taskqueue-checkpoint-idempotency-bank,workflow-dag-taskqueue-checkpoint-idempotency-bank,2026-08-19T17:04:06Z,exp-048-workflow-dag-taskqueue-checkpoint-idempotency-bank,exp-047 base; workflow DAG/task queue/checkpoint resume/idempotency key bank,experiments/runs/exp-048-workflow-dag-taskqueue-checkpoint-idempotency-bank/attack.py,502320a,8380a0a57afd9d1b12401ab13dd398fef3c88e08c3cd26a9df7966c323b98e68
exp-049-eventstore-memory-provenance-vault-bank,eventstore-memory-provenance-vault-bank,2026-08-22T17:06:30Z,exp-049-eventstore-memory-provenance-vault-bank,Event sourcing/context compaction/tool provenance/secrets vault replay bank based on exp-048,experiments/runs/exp-049-eventstore-memory-provenance-vault-bank/attack.py,b829bf1,ef955dd19522f8d634188fb699796c2535377a58596c61f3fdb736841706705d
exp-050-circuit-flag-quota-consent-bank,circuit-flag-quota-consent-bank,2026-08-23T17:04:17Z,exp-050-circuit-flag-quota-consent-bank,Circuit breaker/feature flag/quota broker/consent ledger replay bank based on exp-049,experiments/runs/exp-050-circuit-flag-quota-consent-bank/attack.py,223a28c,a0c941b8a5155339b729385cb61f2bd5b91c269629c0be297d6714afa856e810
exp-051-workflow-dag-taskqueue-checkpoint-idempotency-bank,workflow-dag-taskqueue-checkpoint-idempotency-bank,2026-08-24T17:03:37Z,exp-051-workflow-dag-taskqueue-checkpoint-idempotency-bank,exp-050 base; workflow DAG/task queue/checkpoint resume/idempotency key bank; drop circuit breaker/feature flag/quota broker/consent ledger,experiments/runs/exp-051-workflow-dag-taskqueue-checkpoint-idempotency-bank/attack.py,f4b276c,8e19ffa1d071d15367a2151435b780f1133f12fc97db49fc3bd4680aefd2ffd7
exp-052-circuit-flag-quota-consent-bank,circuit-flag-quota-consent-bank,2026-08-25T17:00:00Z,exp-052-circuit-flag-quota-consent-bank,exp-051 base; circuit breaker/feature flag/quota broker/consent ledger bank; drop workflow DAG/task queue/checkpoint resume/idempotency key,experiments/runs/exp-052-circuit-flag-quota-consent-bank/attack.py,b32547a,8e19ffa1d071d15367a2151435b780f1133f12fc97db49fc3bd4680aefd2ffd7
exp-053-workflow-dag-taskqueue-checkpoint-idempotency-bank,workflow-dag-taskqueue-checkpoint-idempotency-bank,2026-08-26T17:02:00Z,exp-053-workflow-dag-taskqueue-checkpoint-idempotency-bank,exp-052 base; workflow DAG/task queue/checkpoint resume/idempotency key bank; drop circuit breaker/feature flag/quota broker/consent ledger,experiments/runs/exp-053-workflow-dag-taskqueue-checkpoint-idempotency-bank/attack.py,068ca0b,ef955dd19522f8d634188fb699796c2535377a58596c61f3fdb736841706705d
exp-054-circuit-flag-quota-consent-bank,circuit-flag-quota-consent-bank,2026-08-27T17:04:13Z,exp-054-circuit-flag-quota-consent-bank,exp-053 base + circuit breaker/feature flag/quota broker/consent ledger; drop workflow DAG sections for 2000 cap,experiments/runs/exp-054-circuit-flag-quota-consent-bank/attack.py,c0cf8ad,8e19ffa1d071d15367a2151435b780f1133f12fc97db49fc3bd4680aefd2ffd7
